TransactionID,UserID,CourseID,TeacherID,UserName,Age_x,Gender_x,Email,CourseName,CourseCategory,CourseLevel,CourseRating,TeacherName,Age_y,Gender_y,Expertise,YearsOfExperience,TeacherRating
TR00026,U01805,C0005,T0029,bridget73,21,Male,swilson@outlook.com,Course_5,Programming,Advanced,3.11,Teacher_29,33,Female,Programming,22,3.56
TR00027,U01298,C0074,T0051,nancy57,22,Female,randy42@gmail.com,Course_74,Business,Advanced,4.88,Teacher_51,58,Male,Design,15,3.89
TR00028,U01632,C0052,T0064,ygarcia,21,Male,gouldphilip@yahoo.com,Course_52,Marketing,Beginner,4.03,Teacher_64,49,Male,Business,19,3.87
TR00029,U01915,C0077,T0004,madisonwise,34,Female,salazarcindy@outlook.com,Course_77,Design,Advanced,4.36,Teacher_4,45,Female,Design,25,3.4
TR00030,U00814,C0169,T0087,dana01,21,Female,hhoover@yahoo.com,Course_169,Data Science,Intermediate,4.32,Teacher_87,58,Female,Marketing,21,3.79
TR00031,U00029,C0181,T0028,hartmanjon,30,Male,nicole88@gmail.com,Course_181,Business,Beginner,4.28,Teacher_28,45,Male,Programming,26,3.72
TR00032,U00958,C0110,T0016,vanessa84,28,Female,douglas85@gmail.com,Course_110,Programming,Advanced,4.2,Teacher_16,26,Female,Design,15,3.38
TR00033,U02033,C0178,T0063,jasmineharris,25,Male,goodwinmichael@outlook.com,Course_178,Data Science,Intermediate,3.33,Teacher_63,50,Male,Marketing,24,4.15
TR00034,U00477,C0143,T0076,jason69,19,Male,david15@outlook.com,Course_143,Programming,Beginner,4.09,Teacher_76,41,Female,Design,1,2.86
TR00035,U00318,C0106,T0053,dudleyaimee,20,Male,brian51@yahoo.com,Course_106,Design,Beginner,4.85,Teacher_53,38,Male,Design,23,3.97
TR00036,U00245,C0127,T0085,twilson,31,Female,kimberly44@gmail.com,Course_127,Business,Intermediate,4.1,Teacher_85,32,Female,Design,8,3.05
TR00037,U00748,C0007,T0109,gyang,30,Female,pwhite@gmail.com,Course_7,Business,Advanced,4.33,Teacher_109,56,Female,Data Science,17,4.0
TR00038,U00697,C0040,T0017,rebekah50,32,Female,sean35@hotmail.com,Course_40,Marketing,Advanced,3.25,Teacher_17,45,Female,Data Science,28,3.97
TR00039,U00272,C0156,T0040,wvasquez,25,Male,ashley40@yahoo.com,Course_156,Programming,Intermediate,4.35,Teacher_40,32,Male,Business,8,3.45
TR00040,U01772,C0160,T0013,elizabethrodriguez,32,Female,uburns@outlook.com,Course_160,Data Science,Intermediate,3.95,Teacher_13,26,Female,Data Science,12,3.46
TR00041,U01263,C0099,T0052,ymartinez,17,Female,oconnelljennifer@hotmail.com,Course_99,Programming,Intermediate,3.65,Teacher_52,34,Female,Programming,3,3.11
TR00042,U02425,C0143,T0058,brittany68,24,Female,woodsjordan@outlook.com,Course_143,Programming,Beginner,4.09,Teacher_58,47,Female,Programming,18,3.78
TR00043,U00266,C0085,T0096,fstephens,25,Female,omann@hotmail.com,Course_85,Marketing,Intermediate,4.36,Teacher_96,59,Female,Marketing,3,2.85
TR00044,U02974,C0198,T0037,barnettkaitlyn,31,Female,kerritaylor@yahoo.com,Course_198,Programming,Advanced,3.74,Teacher_37,44,Male,Programming,28,3.68
TR00045,U00921,C0065,T0114,nharris,26,Male,joshuaduran@gmail.com,Course_65,Marketing,Beginner,2.67,Teacher_114,39,Male,Marketing,16,3.59
TR00046,U00340,C0132,T0079,george01,30,Male,hillamber@yahoo.com,Course_132,Marketing,Beginner,4.24,Teacher_79,59,Male,Programming,1,3.11
TR00047,U00389,C0011,T0076,qhunt,27,Female,griffithebony@gmail.com,Course_11,Marketing,Intermediate,5.0,Teacher_76,41,Female,Design,1,2.86
TR00048,U02625,C0108,T0061,gibsonanthony,22,Female,odomnicole@outlook.com,Course_108,Programming,Beginner,3.95,Teacher_61,42,Female,Business,19,3.33
TR00049,U02051,C0026,T0113,nielsenannette,31,Female,larabrian@hotmail.com,Course_26,Business,Advanced,4.55,Teacher_113,47,Male,Business,12,3.66
TR00050,U01166,C0189,T0079,gcantu,21,Male,freemandaniel@hotmail.com,Course_189,Design,Advanced,4.14,Teacher_79,59,Male,Programming,1,3.11
TR00051,U00376,C0165,T0034,jeffrey59,29,Male,xbradley@hotmail.com,Course_165,Marketing,Intermediate,3.69,Teacher_34,33,Female,Programming,15,3.59
TR00052,U02034,C0151,T0070,garrettjenkins,31,Female,stevensadam@hotmail.com,Course_151,Marketing,Beginner,3.53,Teacher_70,33,Female,Design,26,3.66
TR00053,U02372,C0085,T0017,kevinmunoz,35,Male,travislewis@outlook.com,Course_85,Marketing,Intermediate,4.36,Teacher_17,45,Female,Data Science,28,3.97
TR00054,U00146,C0168,T0112,ihernandez,30,Female,rgarcia@outlook.com,Course_168,Design,Beginner,3.72,Teacher_112,54,Female,Programming,5,2.94
TR00055,U01982,C0151,T0113,znelson,35,Female,jeffreycarpenter@gmail.com,Course_151,Marketing,Beginner,3.53,Teacher_113,47,Male,Business,12,3.66
TR00056,U00293,C0123,T0020,brian93,25,Female,reyesangela@gmail.com,Course_123,Business,Beginner,4.01,Teacher_20,46,Male,Design,23,3.4
TR00057,U00432,C0144,T0073,umiller,31,Male,petersendarren@gmail.com,Course_144,Marketing,Beginner,3.62,Teacher_73,32,Female,Design,9,3.05
TR00058,U00705,C0189,T0059,lynnburke,15,Male,navarrosteven@gmail.com,Course_189,Design,Advanced,4.14,Teacher_59,45,Female,Programming,28,3.69
TR00059,U02997,C0068,T0069,jburke,21,Female,nramos@yahoo.com,Course_68,Programming,Intermediate,2.96,Teacher_69,31,Male,Programming,5,3.19
TR00060,U01999,C0104,T0087,marissa62,17,Female,vbowen@yahoo.com,Course_104,Marketing,Intermediate,4.88,Teacher_87,58,Female,Marketing,21,3.79
TR00061,U02633,C0080,T0033,stephaniegray,19,Female,elizabethwilliams@outlook.com,Course_80,Marketing,Intermediate,4.24,Teacher_33,38,Male,Design,6,3.47
TR00062,U00399,C0159,T0102,xgraham,31,Female,hmiller@yahoo.com,Course_159,Programming,Advanced,5.0,Teacher_102,38,Female,Data Science,22,3.61
TR00063,U02865,C0053,T0120,tami37,35,Female,browningscott@yahoo.com,Course_53,Marketing,Intermediate,4.01,Teacher_120,52,Female,Marketing,4,2.98
TR00064,U00964,C0106,T0078,melissa75,16,Female,chavezbryce@outlook.com,Course_106,Design,Beginner,4.85,Teacher_78,59,Male,Programming,26,3.94
TR00065,U02235,C0153,T0017,micheal11,15,Female,melissa00@gmail.com,Course_153,Programming,Advanced,4.25,Teacher_17,45,Female,Data Science,28,3.97
TR00066,U02042,C0044,T0057,downsjulian,32,Female,gabriel66@gmail.com,Course_44,Business,Advanced,3.97,Teacher_57,38,Female,Business,13,3.46
TR00067,U01829,C0140,T0083,walkerlisa,27,Male,deannaoconnor@yahoo.com,Course_140,Data Science,Advanced,4.01,Teacher_83,31,Female,Marketing,16,3.1
TR00068,U02109,C0090,T0097,monicayoung,23,Male,logan02@hotmail.com,Course_90,Data Science,Beginner,4.31,Teacher_97,38,Female,Programming,12,3.56
TR00069,U00939,C0101,T0001,regina72,18,Male,autumn95@yahoo.com,Course_101,Data Science,Beginner,3.22,Teacher_1,53,Female,Business,28,3.86
TR00070,U00710,C0097,T0013,virginia47,19,Male,mullinsdavid@outlook.com,Course_97,Design,Advanced,3.74,Teacher_13,26,Female,Data Science,12,3.46
TR00071,U00807,C0009,T0110,mark87,35,Female,theresa07@outlook.com,Course_9,Programming,Beginner,4.14,Teacher_110,56,Male,Programming,14,3.75
TR00072,U01464,C0012,T0027,iyoung,33,Male,tina46@yahoo.com,Course_12,Design,Intermediate,4.06,Teacher_27,31,Female,Business,26,3.8
TR00073,U01326,C0069,T0070,zmoore,15,Female,pricericky@yahoo.com,Course_69,Data Science,Intermediate,3.83,Teacher_70,33,Female,Design,26,3.66
TR00074,U00011,C0182,T0059,ashley16,15,Female,guzmanantonio@outlook.com,Course_182,Programming,Advanced,4.54,Teacher_59,45,Female,Programming,28,3.69
TR00075,U01086,C0182,T0006,zhensley,29,Female,cford@hotmail.com,Course_182,Programming,Advanced,4.54,Teacher_6,47,Male,Programming,13,3.47
TR00076,U01869,C0028,T0097,obennett,32,Male,cnguyen@hotmail.com,Course_28,Marketing,Advanced,4.76,Teacher_97,38,Female,Programming,12,3.56
TR00077,U02274,C0056,T0094,jenna07,16,Male,victoria09@hotmail.com,Course_56,Data Science,Intermediate,3.93,Teacher_94,59,Male,Design,29,3.88
TR00078,U02612,C0099,T0110,acamacho,22,Male,meghanhart@outlook.com,Course_99,Programming,Intermediate,3.65,Teacher_110,56,Male,Programming,14,3.75
TR00079,U00772,C0197,T0099,lindseylawson,24,Female,brandon45@yahoo.com,Course_197,Business,Intermediate,4.47,Teacher_99,25,Female,Data Science,16,3.5
TR00080,U01595,C0110,T0023,ronaldperry,15,Male,wjackson@hotmail.com,Course_110,Programming,Advanced,4.2,Teacher_23,52,Male,Programming,25,3.79
TR00081,U01608,C0077,T0010,debbie14,15,Female,watsonroger@outlook.com,Course_77,Design,Advanced,4.36,Teacher_10,48,Female,Design,14,3.47
TR00082,U01334,C0103,T0051,stricklandrachel,35,Female,lindsey34@outlook.com,Course_103,Programming,Intermediate,3.36,Teacher_51,58,Male,Design,15,3.89
TR00083,U00885,C0106,T0019,moralessherri,28,Female,robinsonmichelle@gmail.com,Course_106,Design,Beginner,4.85,Teacher_19,36,Female,Design,2,3.54
TR00084,U01390,C0109,T0051,eriley,33,Female,srogers@hotmail.com,Course_109,Data Science,Intermediate,3.73,Teacher_51,58,Male,Design,15,3.89
TR00085,U00226,C0112,T0092,marioperez,34,Female,jdougherty@hotmail.com,Course_112,Design,Beginner,4.55,Teacher_92,46,Female,Design,5,2.87
TR00086,U00825,C0058,T0087,odavis,26,Male,richard58@gmail.com,Course_58,Business,Beginner,3.73,Teacher_87,58,Female,Marketing,21,3.79
TR00087,U02266,C0078,T0068,holly07,21,Male,bblair@gmail.com,Course_78,Programming,Beginner,3.44,Teacher_68,49,Male,Marketing,26,3.6
TR00088,U00937,C0075,T0084,kimberly76,35,Male,billyhamilton@hotmail.com,Course_75,Business,Beginner,4.47,Teacher_84,33,Female,Business,25,3.41
TR00089,U02801,C0042,T0083,benjamin14,15,Female,laneeric@outlook.com,Course_42,Data Science,Intermediate,3.86,Teacher_83,31,Female,Marketing,16,3.1
TR00090,U02554,C0166,T0042,sandersmarcia,32,Male,philip02@outlook.com,Course_166,Design,Advanced,4.91,Teacher_42,38,Female,Business,28,3.97
TR00091,U02307,C0068,T0091,fieldsbarbara,22,Male,tanya86@gmail.com,Course_68,Programming,Intermediate,2.96,Teacher_91,59,Male,Business,7,3.23
TR00092,U01912,C0181,T0057,fletcherdestiny,24,Female,qberger@hotmail.com,Course_181,Business,Beginner,4.28,Teacher_57,38,Female,Business,13,3.46
TR00093,U01797,C0033,T0098,linda33,33,Male,adamlee@gmail.com,Course_33,Business,Advanced,4.41,Teacher_98,27,Male,Business,26,4.33
TR00094,U00054,C0071,T0068,jessicaparker,22,Female,rosslindsey@hotmail.com,Course_71,Data Science,Beginner,3.3,Teacher_68,49,Male,Marketing,26,3.6
TR00095,U00727,C0056,T0120,jeffreystewart,33,Female,tsexton@gmail.com,Course_56,Data Science,Intermediate,3.93,Teacher_120,52,Female,Marketing,4,2.98
TR00096,U02737,C0105,T0038,thomasbrittany,23,Male,gdavis@outlook.com,Course_105,Marketing,Intermediate,2.96,Teacher_38,52,Female,Design,5,3.0
TR00097,U01545,C0200,T0062,ganderson,15,Female,vgreen@gmail.com,Course_200,Data Science,Advanced,3.77,Teacher_62,48,Male,Business,17,3.2
TR00098,U01044,C0101,T0007,kwhite,31,Female,jeffreybell@hotmail.com,Course_101,Data Science,Beginner,3.22,Teacher_7,35,Female,Data Science,20,4.1
TR00099,U01914,C0051,T0112,ryanadkins,32,Female,christopher63@gmail.com,Course_51,Business,Intermediate,5.0,Teacher_112,54,Female,Programming,5,2.94
TR00100,U01777,C0074,T0071,justin83,27,Male,kimberly25@hotmail.com,Course_74,Business,Advanced,4.88,Teacher_71,48,Female,Programming,21,3.99
TR00101,U01597,C0171,T0050,sarahhopkins,21,Female,nguyendonna@yahoo.com,Course_171,Data Science,Beginner,4.31,Teacher_50,50,Female,Programming,20,3.91
TR00102,U01915,C0121,T0052,madisonwise,34,Female,salazarcindy@outlook.com,Course_121,Business,Beginner,4.09,Teacher_52,34,Female,Programming,3,3.11
TR00103,U02467,C0143,T0026,careyroger,19,Male,justinchen@hotmail.com,Course_143,Programming,Beginner,4.09,Teacher_26,27,Male,Marketing,22,3.55
TR00104,U02738,C0166,T0026,adunn,16,Female,cbridges@yahoo.com,Course_166,Design,Advanced,4.91,Teacher_26,27,Male,Marketing,22,3.55
TR00105,U00850,C0143,T0118,christopheradams,26,Male,brandon52@hotmail.com,Course_143,Programming,Beginner,4.09,Teacher_118,31,Female,Data Science,21,3.52
TR00106,U02110,C0005,T0019,nathaniel05,25,Male,hdelgado@yahoo.com,Course_5,Programming,Advanced,3.11,Teacher_19,36,Female,Design,2,3.54
TR00107,U02264,C0083,T0009,hannahstewart,28,Female,jonathan91@yahoo.com,Course_83,Programming,Advanced,3.88,Teacher_9,48,Female,Business,8,3.62
TR00108,U00003,C0182,T0061,morrisonamanda,33,Female,ganderson@yahoo.com,Course_182,Programming,Advanced,4.54,Teacher_61,42,Female,Business,19,3.33
TR00109,U00160,C0051,T0020,kingspencer,28,Female,gillvalerie@yahoo.com,Course_51,Business,Intermediate,5.0,Teacher_20,46,Male,Design,23,3.4
TR00110,U00781,C0010,T0106,lucasnorman,18,Female,martindeborah@gmail.com,Course_10,Programming,Beginner,3.44,Teacher_106,39,Female,Business,28,3.7
TR00111,U00893,C0140,T0109,dwillis,15,Male,johnjensen@gmail.com,Course_140,Data Science,Advanced,4.01,Teacher_109,56,Female,Data Science,17,4.0
TR00112,U02031,C0004,T0050,simmonsmartin,20,Male,crystal76@yahoo.com,Course_4,Marketing,Intermediate,3.38,Teacher_50,50,Female,Programming,20,3.91
TR00113,U02377,C0095,T0080,cnavarro,35,Male,kristinhines@gmail.com,Course_95,Business,Advanced,4.46,Teacher_80,57,Female,Design,15,3.35
TR00114,U00580,C0146,T0118,whitepatrick,24,Female,donnaolsen@yahoo.com,Course_146,Design,Beginner,3.3,Teacher_118,31,Female,Data Science,21,3.52
TR00115,U01934,C0080,T0081,imoore,22,Male,turnerdebbie@outlook.com,Course_80,Marketing,Intermediate,4.24,Teacher_81,29,Female,Design,2,2.93
TR00116,U01381,C0036,T0022,danielle11,15,Male,ralphnguyen@outlook.com,Course_36,Programming,Advanced,3.35,Teacher_22,51,Female,Data Science,19,3.05
TR00117,U01291,C0025,T0013,jtanner,34,Female,swright@yahoo.com,Course_25,Data Science,Intermediate,4.03,Teacher_13,26,Female,Data Science,12,3.46
TR00118,U01641,C0098,T0012,bbowen,17,Male,qlewis@gmail.com,Course_98,Programming,Advanced,4.52,Teacher_12,46,Female,Programming,14,3.61
TR00119,U00952,C0164,T0010,fullerlaura,22,Female,dreeves@gmail.com,Course_164,Business,Beginner,4.89,Teacher_10,48,Female,Design,14,3.47
TR00120,U02683,C0101,T0065,jake76,28,Male,jmayo@hotmail.com,Course_101,Data Science,Beginner,3.22,Teacher_65,53,Male,Business,28,4.12
TR00121,U00988,C0195,T0096,haley70,21,Female,adouglas@yahoo.com,Course_195,Design,Advanced,4.01,Teacher_96,59,Female,Marketing,3,2.85
TR00122,U01219,C0009,T0030,christina30,16,Male,glassmegan@yahoo.com,Course_9,Programming,Beginner,4.14,Teacher_30,42,Male,Business,17,3.82
TR00123,U00921,C0061,T0008,nharris,26,Male,joshuaduran@gmail.com,Course_61,Programming,Intermediate,3.64,Teacher_8,35,Female,Programming,1,2.6
TR00124,U02786,C0053,T0021,cburch,25,Male,mariemiller@gmail.com,Course_53,Marketing,Intermediate,4.01,Teacher_21,49,Male,Programming,22,4.37
TR00125,U01356,C0146,T0022,johnsonrenee,26,Female,rachel58@hotmail.com,Course_146,Design,Beginner,3.3,Teacher_22,51,Female,Data Science,19,3.05
TR00126,U00170,C0171,T0018,millerdavid,34,Female,mark06@hotmail.com,Course_171,Data Science,Beginner,4.31,Teacher_18,57,Male,Programming,2,3.27
TR00127,U00521,C0163,T0066,amanda69,26,Female,mramirez@yahoo.com,Course_163,Programming,Beginner,3.98,Teacher_66,39,Female,Business,26,4.06
TR00128,U01487,C0063,T0048,david91,17,Female,nicholasscott@hotmail.com,Course_63,Business,Advanced,3.87,Teacher_48,53,Female,Business,6,3.53
TR00129,U00040,C0121,T0044,briannamurphy,15,Male,ohobbs@gmail.com,Course_121,Business,Beginner,4.09,Teacher_44,28,Female,Marketing,12,3.22
TR00130,U01561,C0105,T0009,miranda44,32,Male,philipjohnson@yahoo.com,Course_105,Marketing,Intermediate,2.96,Teacher_9,48,Female,Business,8,3.62
TR00131,U01419,C0004,T0067,qwright,34,Female,justin88@hotmail.com,Course_4,Marketing,Intermediate,3.38,Teacher_67,25,Male,Data Science,23,3.76
TR00132,U00955,C0093,T0054,howardfranco,35,Female,christopher22@hotmail.com,Course_93,Data Science,Beginner,4.16,Teacher_54,55,Female,Programming,8,3.17
TR00133,U00984,C0169,T0026,ilambert,27,Male,hhall@outlook.com,Course_169,Data Science,Intermediate,4.32,Teacher_26,27,Male,Marketing,22,3.55
TR00134,U00975,C0173,T0085,kroman,35,Female,jrobinson@hotmail.com,Course_173,Business,Beginner,3.64,Teacher_85,32,Female,Design,8,3.05
TR00135,U00038,C0178,T0094,williamselizabeth,35,Male,kpham@gmail.com,Course_178,Data Science,Intermediate,3.33,Teacher_94,59,Male,Design,29,3.88
TR00136,U02376,C0028,T0092,sharon88,19,Female,qshaffer@gmail.com,Course_28,Marketing,Advanced,4.76,Teacher_92,46,Female,Design,5,2.87
TR00137,U01275,C0170,T0100,ellismichael,35,Male,shawn31@hotmail.com,Course_170,Marketing,Beginner,4.49,Teacher_100,29,Female,Programming,19,3.75
TR00138,U01200,C0080,T0026,phamilton,15,Female,jpaul@yahoo.com,Course_80,Marketing,Intermediate,4.24,Teacher_26,27,Male,Marketing,22,3.55
TR00139,U01626,C0076,T0034,amythornton,26,Female,howardjennifer@yahoo.com,Course_76,Data Science,Advanced,4.64,Teacher_34,33,Female,Programming,15,3.59
TR00140,U00914,C0116,T0008,goodwinmichelle,22,Male,danielmcclure@hotmail.com,Course_116,Data Science,Beginner,3.97,Teacher_8,35,Female,Programming,1,2.6
TR00141,U00454,C0069,T0010,lauralewis,28,Female,corey28@outlook.com,Course_69,Data Science,Intermediate,3.83,Teacher_10,48,Female,Design,14,3.47
TR00142,U00037,C0098,T0048,lisabraun,31,Female,ericbrown@hotmail.com,Course_98,Programming,Advanced,4.52,Teacher_48,53,Female,Business,6,3.53
TR00143,U01712,C0001,T0055,millerkevin,30,Male,vrose@hotmail.com,Course_1,Data Science,Advanced,4.21,Teacher_55,39,Male,Marketing,20,3.76
TR00144,U00796,C0167,T0107,belljacob,22,Female,rachellewis@outlook.com,Course_167,Data Science,Advanced,4.35,Teacher_107,50,Male,Data Science,5,3.17
TR00145,U00973,C0096,T0114,robertsnicolas,22,Male,mark15@yahoo.com,Course_96,Data Science,Intermediate,3.91,Teacher_114,39,Male,Marketing,16,3.59
TR00146,U00593,C0017,T0054,fmaxwell,23,Male,erictorres@gmail.com,Course_17,Business,Intermediate,3.6,Teacher_54,55,Female,Programming,8,3.17
TR00147,U01138,C0112,T0078,xrowland,22,Female,flemingchelsea@hotmail.com,Course_112,Design,Beginner,4.55,Teacher_78,59,Male,Programming,26,3.94
TR00148,U01325,C0091,T0040,ugraves,18,Female,thomasprice@hotmail.com,Course_91,Data Science,Beginner,4.3,Teacher_40,32,Male,Business,8,3.45
TR00149,U02272,C0088,T0119,gregory53,23,Female,hardylaura@outlook.com,Course_88,Business,Beginner,4.58,Teacher_119,46,Male,Programming,7,2.6
TR00150,U00318,C0163,T0015,dudleyaimee,20,Male,brian51@yahoo.com,Course_163,Programming,Beginner,3.98,Teacher_15,54,Male,Business,23,3.79
TR00151,U02397,C0174,T0081,qalvarado,22,Male,campbellmichelle@gmail.com,Course_174,Business,Advanced,3.88,Teacher_81,29,Female,Design,2,2.93
TR00152,U02163,C0170,T0117,kennedydavid,29,Male,colecarlos@hotmail.com,Course_170,Marketing,Beginner,4.49,Teacher_117,56,Male,Business,16,3.28
TR00153,U02746,C0167,T0018,lindseypatrick,28,Male,stephen55@outlook.com,Course_167,Data Science,Advanced,4.35,Teacher_18,57,Male,Programming,2,3.27
TR00154,U01347,C0090,T0096,brandonjones,20,Male,jameszamora@yahoo.com,Course_90,Data Science,Beginner,4.31,Teacher_96,59,Female,Marketing,3,2.85
TR00155,U01592,C0049,T0102,travisweber,33,Male,raymond75@yahoo.com,Course_49,Marketing,Intermediate,3.87,Teacher_102,38,Female,Data Science,22,3.61
TR00156,U01890,C0190,T0023,scampos,18,Female,pamelaoconnell@gmail.com,Course_190,Programming,Beginner,3.36,Teacher_23,52,Male,Programming,25,3.79
TR00157,U02088,C0038,T0062,amandacardenas,18,Female,huffmanpaul@gmail.com,Course_38,Business,Advanced,4.83,Teacher_62,48,Male,Business,17,3.2
TR00158,U01997,C0151,T0046,melissa23,16,Male,ztaylor@gmail.com,Course_151,Marketing,Beginner,3.53,Teacher_46,30,Male,Data Science,7,3.17
TR00159,U01773,C0150,T0087,tanya67,17,Male,ernestgregory@outlook.com,Course_150,Data Science,Intermediate,4.53,Teacher_87,58,Female,Marketing,21,3.79
TR00160,U01313,C0132,T0099,nicholas58,31,Male,jasonphillips@hotmail.com,Course_132,Marketing,Beginner,4.24,Teacher_99,25,Female,Data Science,16,3.5
TR00161,U01286,C0177,T0039,fjohnson,27,Male,henrynathaniel@hotmail.com,Course_177,Marketing,Intermediate,4.09,Teacher_39,31,Male,Design,1,3.26
TR00162,U00216,C0059,T0015,taylorelizabeth,23,Male,peckamy@outlook.com,Course_59,Programming,Beginner,3.98,Teacher_15,54,Male,Business,23,3.79
TR00163,U02384,C0068,T0053,oliverlori,22,Male,cochranjason@gmail.com,Course_68,Programming,Intermediate,2.96,Teacher_53,38,Male,Design,23,3.97
TR00164,U02140,C0199,T0088,lisahoward,21,Female,manuelbailey@yahoo.com,Course_199,Marketing,Advanced,4.05,Teacher_88,57,Male,Marketing,1,3.48
TR00165,U02401,C0130,T0064,bturner,28,Male,marshallsuzanne@outlook.com,Course_130,Marketing,Beginner,3.15,Teacher_64,49,Male,Business,19,3.87
TR00166,U02619,C0049,T0063,jason86,24,Female,eross@gmail.com,Course_49,Marketing,Intermediate,3.87,Teacher_63,50,Male,Marketing,24,4.15
TR00167,U02864,C0126,T0092,robinsonjessica,25,Female,randywilliams@outlook.com,Course_126,Programming,Intermediate,3.61,Teacher_92,46,Female,Design,5,2.87
TR00168,U01705,C0159,T0080,riddleryan,28,Male,melissapierce@outlook.com,Course_159,Programming,Advanced,5.0,Teacher_80,57,Female,Design,15,3.35
TR00169,U02829,C0111,T0016,sjackson,19,Female,gibsonjoseph@yahoo.com,Course_111,Design,Advanced,3.98,Teacher_16,26,Female,Design,15,3.38
TR00170,U00363,C0168,T0104,haysbarbara,32,Female,kennedybryan@hotmail.com,Course_168,Design,Beginner,3.72,Teacher_104,33,Male,Data Science,29,3.97
TR00171,U02605,C0048,T0103,leachkayla,22,Male,jhardin@outlook.com,Course_48,Programming,Intermediate,4.56,Teacher_103,51,Male,Business,25,3.9
